0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30003 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "GET /laboratoryweb/classManager?_=1587817134461 HTTP/1.1" 200 7594
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "POST /laboratoryweb/getAllDepartments HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "POST /laboratoryweb/getAllDepartments HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "POST /laboratoryweb/getPageClasses HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "GET /laboratoryweb/getClassDepartName?departmentId=1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "GET /laboratoryweb/getClassDepartName?departmentId=1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "GET /laboratoryweb/getClassDepartName?departmentId=2 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "GET /laboratoryweb/getClassDepartName?departmentId=1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "GET /laboratoryweb/oldOrderInfo?_=1587817134462 HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "GET /laboratoryweb/resources/css/icons/reload.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:32 +0800] "POST /laboratoryweb/getPagerOldOrders HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:33 +0800] "GET /laboratoryweb/laboratoryManager?_=1587817134463 HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:33 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/datagrid_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:33 +0800] "POST /laboratoryweb/getPagerLaboratorys HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:33 +0800] "GET /laboratoryweb/experProjectManager?_=1587817134464 HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:33 +0800] "POST /laboratoryweb/getAllLaboratory HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:33 +0800] "POST /laboratoryweb/getPagerExperProjects HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:34 +0800] "GET /laboratoryweb/digitalManager?_=1587817134465 HTTP/1.1" 200 4427
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:34 +0800] "POST /laboratoryweb/getAllUpload HTTP/1.1" 200 679
